0 ('/setup.py', 'module_initializer', '__metaclass__')
1 ('/setup.py', 'module_initializer', 'SYMLINK_CACHE')
2 ('/setup.py', 'module_initializer', 'PYCRYPTO_DIST')
3 ('/setup.py', 'module_initializer', 'here')
4 ('/setup.py', 'module_initializer', '__version__')
5 ('/setup.py', 'module_initializer', '__author__')
6 ('/setup.py', 'module_initializer', 'static_setup_params')
7 ('/packaging/release/versionhelper/version_helper.py', 'module_initializer', '__metaclass__')
8 ('/packaging/release/versionhelper/version_helper.py', 'AnsibleVersionMunger_class_initializer', 'tag_offsets')
9 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__metaclass__')
10 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__version__')
11 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__license__')
12 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__author__')
13 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__author_email__')
14 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'name')
15 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'int_part')
16 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'frac_part')
17 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'exp_part')
18 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'tokens')
19 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputLexer_class_initializer', 'name')
20 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputLexer_class_initializer', 'aliases')
21 ('/examples/scripts/uptime.py', 'module_initializer', '__metaclass__')
22 ('/lib/ansible/plugins/callback/tree.py', 'module_initializer', '__metaclass__')
23 ('/lib/ansible/plugins/callback/tree.py', 'module_initializer', 'DOCUMENTATION')
24 ('/lib/ansible/plugins/callback/tree.py', 'CallbackModule_class_initializer', 'CALLBACK_VERSION')
25 ('/lib/ansible/plugins/callback/tree.py', 'CallbackModule_class_initializer', 'CALLBACK_TYPE')
26 ('/lib/ansible/plugins/callback/tree.py', 'CallbackModule_class_initializer', 'CALLBACK_NAME')
27 ('/lib/ansible/plugins/callback/tree.py', 'CallbackModule_class_initializer', 'CALLBACK_NEEDS_WHITELIST')
28 ('/lib/ansible/plugins/callback/__init__.py', 'module_initializer', '__metaclass__')
29 ('/lib/ansible/plugins/callback/__init__.py', 'module_initializer', 'OrderedDict')
30 ('/lib/ansible/plugins/callback/__init__.py', 'module_initializer', 'global_display')
31 ('/lib/ansible/plugins/callback/__init__.py', 'module_initializer', '__all__')
32 ('/lib/ansible/plugins/callback/__init__.py', 'module_initializer', '_DEBUG_ALLOWED_KEYS')
33 ('/lib/ansible/utils/display.py', 'module_initializer', '__metaclass__')
34 ('/lib/ansible/utils/display.py', 'module_initializer', '_LIBC')
35 ('/lib/ansible/utils/display.py', 'module_initializer', '_MAX_INT')
36 ('/lib/ansible/utils/display.py', 'module_initializer', '_LOCALE_INITIALIZED')
37 ('/lib/ansible/utils/display.py', 'module_initializer', '_LOCALE_INITIALIZATION_ERR')
38 ('/lib/ansible/utils/display.py', 'module_initializer', 'logger')
39 ('/lib/ansible/utils/display.py', 'module_initializer', 'path')
40 ('/lib/ansible/utils/display.py', 'module_initializer', 'handler')
41 ('/lib/ansible/utils/display.py', 'module_initializer', 'color_to_log_level')
42 ('/lib/ansible/utils/display.py', 'module_initializer', 'b_COW_PATHS')
43 ('/lib/ansible/constants.py', 'module_initializer', '__metaclass__')
44 ('/lib/ansible/constants.py', 'module_initializer', 'BLACKLIST_EXTS')
45 ('/lib/ansible/constants.py', 'module_initializer', 'BOOL_TRUE')
46 ('/lib/ansible/constants.py', 'module_initializer', 'COLLECTION_PTYPE_COMPAT')
47 ('/lib/ansible/constants.py', 'module_initializer', 'DEFAULT_BECOME_PASS')
48 ('/lib/ansible/constants.py', 'module_initializer', 'DEFAULT_PASSWORD_CHARS')
49 ('/lib/ansible/constants.py', 'module_initializer', 'DEFAULT_REMOTE_PASS')
50 ('/lib/ansible/constants.py', 'module_initializer', 'DEFAULT_SUBSET')
51 ('/lib/ansible/constants.py', 'module_initializer', 'CONFIGURABLE_PLUGINS')
52 ('/lib/ansible/constants.py', 'module_initializer', 'DOCUMENTABLE_PLUGINS')
53 ('/lib/ansible/constants.py', 'module_initializer', 'IGNORE_FILES')
54 ('/lib/ansible/constants.py', 'module_initializer', 'INTERNAL_RESULT_KEYS')
55 ('/lib/ansible/constants.py', 'module_initializer', 'LOCALHOST')
56 ('/lib/ansible/constants.py', 'module_initializer', 'MODULE_REQUIRE_ARGS')
57 ('/lib/ansible/constants.py', 'module_initializer', 'MODULE_NO_JSON')
58 ('/lib/ansible/constants.py', 'module_initializer', 'RESTRICTED_RESULT_KEYS')
59 ('/lib/ansible/constants.py', 'module_initializer', 'TREE_DIR')
60 ('/lib/ansible/constants.py', 'module_initializer', 'VAULT_VERSION_MIN')
61 ('/lib/ansible/constants.py', 'module_initializer', 'VAULT_VERSION_MAX')
62 ('/lib/ansible/constants.py', 'module_initializer', 'INVALID_VARIABLE_NAMES')
63 ('/lib/ansible/constants.py', 'module_initializer', 'COMMON_CONNECTION_VARS')
64 ('/lib/ansible/constants.py', 'module_initializer', 'MAGIC_VARIABLE_MAPPING')
65 ('/lib/ansible/constants.py', 'module_initializer', 'config')
66 ('/lib/ansible/constants.py', 'module_initializer', 'setting')
67 ('/lib/ansible/constants.py', 'module_initializer', 'value')
68 ('/lib/ansible/constants.py', 'module_initializer', 't')
69 ('/lib/ansible/constants.py', 'module_initializer', 'warn')
70 ('/lib/ansible/module_utils/parsing/convert_bool.py', 'module_initializer', '__metaclass__')
71 ('/lib/ansible/module_utils/parsing/convert_bool.py', 'module_initializer', 'BOOLEANS_TRUE')
72 ('/lib/ansible/module_utils/parsing/convert_bool.py', 'module_initializer', 'BOOLEANS_FALSE')
73 ('/lib/ansible/module_utils/parsing/convert_bool.py', 'module_initializer', 'BOOLEANS')
74 ('/lib/ansible/module_utils/_text.py', 'module_initializer', '__metaclass__')
75 ('/lib/ansible/module_utils/common/text/converters.py', 'module_initializer', '__metaclass__')
76 ('/lib/ansible/module_utils/common/text/converters.py', 'module_initializer', 'HAS_SURROGATEESCAPE')
77 ('/lib/ansible/module_utils/common/text/converters.py', 'module_initializer', '_COMPOSED_ERROR_HANDLERS')
78 ('/lib/ansible/module_utils/common/text/converters.py', 'module_initializer', 'to_native')
79 ('/lib/ansible/config/manager.py', 'module_initializer', '__metaclass__')
80 ('/lib/ansible/config/manager.py', 'module_initializer', 'Plugin')
81 ('/lib/ansible/config/manager.py', 'module_initializer', 'Setting')
82 ('/lib/ansible/config/manager.py', 'module_initializer', 'INTERNAL_DEFS')
83 ('/lib/ansible/config/manager.py', 'ConfigManager_class_initializer', 'DEPRECATED')
84 ('/lib/ansible/config/manager.py', 'ConfigManager_class_initializer', 'WARNINGS')
85 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_BUNDLED_METADATA')
86 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '__author__')
87 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '__version__')
88 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'PY2')
89 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'PY3')
90 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'PY34')
91 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'string_types')
92 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'integer_types')
93 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'class_types')
94 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'text_type')
95 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'binary_type')
96 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'MAXSIZE')
97 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_importer')
98 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_moved_attributes')
99 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'attr')
100 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'moves')
101 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_urllib_parse_moved_attributes')
102 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_urllib_error_moved_attributes')
103 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_urllib_request_moved_attributes')
104 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_urllib_response_moved_attributes')
105 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_urllib_robotparser_moved_attributes')
106 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_meth_func')
107 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_meth_self')
108 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_func_closure')
109 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_func_code')
110 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_func_defaults')
111 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_func_globals')
112 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'advance_iterator')
113 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'next')
114 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'callable')
115 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'create_bound_method')
116 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'Iterator')
117 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'get_method_function')
118 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'get_method_self')
119 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'get_function_closure')
120 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'get_function_code')
121 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'get_function_defaults')
122 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'get_function_globals')
123 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'viewkeys')
124 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'viewvalues')
125 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'viewitems')
126 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'unichr')
127 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'int2byte')
128 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'byte2int')
129 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'indexbytes')
130 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'iterbytes')
131 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'StringIO')
132 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'BytesIO')
133 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_assertCountEqual')
134 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_assertRaisesRegex')
135 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_assertRegex')
136 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'exec_')
137 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'print_')
138 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '_print')
139 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'wraps')
140 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '__path__')
141 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', '__package__')
142 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'i')
143 ('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'importer')
144 ('/lib/ansible/module_utils/six/__init__.py', '_LazyModule_class_initializer', '_moved_attributes')
145 ('/lib/ansible/module_utils/six/__init__.py', '_MovedItems_class_initializer', '__path__')
146 ('/lib/ansible/module_utils/six/__init__.py', 'Module_six_moves_urllib_class_initializer', '__path__')
147 ('/lib/ansible/module_utils/six/__init__.py', 'Module_six_moves_urllib_class_initializer', 'parse')
148 ('/lib/ansible/module_utils/six/__init__.py', 'Module_six_moves_urllib_class_initializer', 'error')
149 ('/lib/ansible/module_utils/six/__init__.py', 'Module_six_moves_urllib_class_initializer', 'request')
150 ('/lib/ansible/module_utils/six/__init__.py', 'Module_six_moves_urllib_class_initializer', 'response')
151 ('/lib/ansible/module_utils/six/__init__.py', 'Module_six_moves_urllib_class_initializer', 'robotparser')
152 ('/packaging/sdist/check-link-behavior.py', 'module_initializer', '__metaclass__')
153 ('/docs/bin/find-plugin-refs.py', 'module_initializer', '__metaclass__')
154 ('/docs/bin/find-plugin-refs.py', 'module_initializer', 'TOPDIR')
155 ('/docs/bin/find-plugin-refs.py', 'module_initializer', 'plugins')
156 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'module_initializer', '__metaclass__')
157 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'module_initializer', '__version__')
158 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'module_initializer', '__version_full__')
159 ('/docs/docsite/rst/conf.py', 'module_initializer', '__metaclass__')
160 ('/docs/docsite/rst/conf.py', 'module_initializer', 'VERSION')
161 ('/docs/docsite/rst/conf.py', 'module_initializer', 'AUTHOR')
162 ('/docs/docsite/rst/conf.py', 'module_initializer', 'extensions')
163 ('/docs/docsite/rst/conf.py', 'module_initializer', 'templates_path')
164 ('/docs/docsite/rst/conf.py', 'module_initializer', 'source_suffix')
165 ('/docs/docsite/rst/conf.py', 'module_initializer', 'master_doc')
166 ('/docs/docsite/rst/conf.py', 'module_initializer', 'project')
167 ('/docs/docsite/rst/conf.py', 'module_initializer', 'copyright')
168 ('/docs/docsite/rst/conf.py', 'module_initializer', 'version')
169 ('/docs/docsite/rst/conf.py', 'module_initializer', 'release')
170 ('/docs/docsite/rst/conf.py', 'module_initializer', 'today_fmt')
171 ('/docs/docsite/rst/conf.py', 'module_initializer', 'pygments_style')
172 ('/docs/docsite/rst/conf.py', 'module_initializer', 'highlight_language')
173 ('/docs/docsite/rst/conf.py', 'module_initializer', 'rst_epilog')
174 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_theme_path')
175 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_theme')
176 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_short_title')
177 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_show_sphinx')
178 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_theme_options')
179 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_context')
180 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_title')
181 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_static_path')
182 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_last_updated_fmt')
183 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_copy_source')
184 ('/docs/docsite/rst/conf.py', 'module_initializer', 'htmlhelp_basename')
185 ('/docs/docsite/rst/conf.py', 'module_initializer', 'notfound_default_language')
186 ('/docs/docsite/rst/conf.py', 'module_initializer', 'notfound_default_version')
187 ('/docs/docsite/rst/conf.py', 'module_initializer', 'notfound_no_urls_prefix')
188 ('/docs/docsite/rst/conf.py', 'module_initializer', 'latex_documents')
189 ('/docs/docsite/rst/conf.py', 'module_initializer', 'autoclass_content')
190 ('/docs/docsite/rst/conf.py', 'module_initializer', 'intersphinx_mapping')
191 ('/docs/docsite/rst/conf.py', 'module_initializer', 'linkcheck_ignore')
192 ('/docs/docsite/rst/conf.py', 'module_initializer', 'linkcheck_workers')
193 ('/hacking/build-ansible.py', 'module_initializer', '__metaclass__')
194 ('/hacking/build-ansible.py', 'module_initializer', 'argcomplete')
195 ('/hacking/return_skeleton_generator.py', 'module_initializer', '__metaclass__')
196 ('/hacking/test-module.py', 'module_initializer', '__metaclass__')
197 ('/hacking/get_library.py', 'module_initializer', '__metaclass__')
198 ('/hacking/fix_test_syntax.py', 'module_initializer', '__metaclass__')
199 ('/hacking/fix_test_syntax.py', 'module_initializer', 'TESTS')
200 ('/hacking/fix_test_syntax.py', 'module_initializer', 'TEST_MAP')
201 ('/hacking/fix_test_syntax.py', 'module_initializer', 'FILTER_RE')
202 ('/hacking/fix_test_syntax.py', 'module_initializer', 'NOT_RE')
203 ('/hacking/fix_test_syntax.py', 'module_initializer', 'ASSERT_SPACE_RE')
204 ('/hacking/fix_test_syntax.py', 'module_initializer', 'parser')
205 ('/hacking/fix_test_syntax.py', 'module_initializer', 'args')
206 ('/hacking/fix_test_syntax.py', 'module_initializer', 'root')
207 ('/hacking/fix_test_syntax.py', 'module_initializer', 'dirs')
208 ('/hacking/fix_test_syntax.py', 'module_initializer', 'filenames')
209 ('/hacking/fix_test_syntax.py', 'module_initializer', 'name')
210 ('/hacking/fix_test_syntax.py', 'module_initializer', 'path')
211 ('/hacking/fix_test_syntax.py', 'module_initializer', 'text')
212 ('/hacking/fix_test_syntax.py', 'module_initializer', 'match')
213 ('/hacking/fix_test_syntax.py', 'module_initializer', 'filter_name')
214 ('/hacking/fix_test_syntax.py', 'module_initializer', 'is_not')
215 ('/hacking/fix_test_syntax.py', 'module_initializer', 'test_name')
216 ('/hacking/fix_test_syntax.py', 'module_initializer', 'before')
217 ('/lib/ansible/plugins/filter/core.py', 'module_initializer', '__metaclass__')
218 ('/lib/ansible/plugins/filter/core.py', 'module_initializer', 'display')
219 ('/lib/ansible/plugins/filter/core.py', 'module_initializer', 'UUID_NAMESPACE_ANSIBLE')
220 ('/lib/ansible/plugins/doc_fragments/files.py', 'module_initializer', '__metaclass__')
221 ('/lib/ansible/plugins/doc_fragments/files.py', 'ModuleDocFragment_class_initializer', 'DOCUMENTATION')
222 ('/lib/ansible/plugins/filter/mathstuff.py', 'module_initializer', '__metaclass__')
223 ('/lib/ansible/plugins/filter/mathstuff.py', 'module_initializer', 'HAS_UNIQUE')
224 ('/lib/ansible/plugins/filter/mathstuff.py', 'module_initializer', 'display')
225 ('/hacking/report.py', 'module_initializer', '__metaclass__')
226 ('/hacking/report.py', 'module_initializer', 'DATABASE_PATH')
227 ('/hacking/report.py', 'module_initializer', 'BASE_PATH')
228 ('/hacking/report.py', 'module_initializer', 'ANSIBLE_PATH')
229 ('/hacking/report.py', 'module_initializer', 'ANSIBLE_TEST_PATH')
230 ('/hacking/build_library/build_ansible/change_detection.py', 'module_initializer', '__metaclass__')
231 ('/hacking/build_library/build_ansible/errors.py', 'module_initializer', '__metaclass__')
232 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', '__metaclass__')
233 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'VERSION_FRAGMENT')
234 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'LONG_TEMPLATE')
235 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'SHORT_TEMPLATE')
236 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'JINJA_ENV')
237 ('/hacking/build_library/build_ansible/commands.py', 'module_initializer', '__metaclass__')
238 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'module_initializer', '__metaclass__')
239 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'module_initializer', 'DEFAULT_TOP_DIR')
240 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'module_initializer', 'DEFAULT_OUTPUT_DIR')
241 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'CollectionPluginDocs_class_initializer', 'name')
242 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'CollectionPluginDocs_class_initializer', '_ACTION_HELP')
243 ('/hacking/build_library/build_ansible/command_plugins/collection_meta.py', 'module_initializer', '__metaclass__')
244 ('/hacking/build_library/build_ansible/command_plugins/collection_meta.py', 'module_initializer', 'DEFAULT_TEMPLATE_FILE')
245 ('/hacking/build_library/build_ansible/command_plugins/collection_meta.py', 'module_initializer', 'DEFAULT_TEMPLATE_DIR')
246 ('/hacking/build_library/build_ansible/command_plugins/collection_meta.py', 'DocumentCollectionMeta_class_initializer', 'name')
247 ('/hacking/build_library/build_ansible/command_plugins/dump_config.py', 'module_initializer', '__metaclass__')
248 ('/hacking/build_library/build_ansible/command_plugins/dump_config.py', 'module_initializer', 'DEFAULT_TEMPLATE_FILE')
249 ('/hacking/build_library/build_ansible/command_plugins/dump_config.py', 'module_initializer', 'DEFAULT_TEMPLATE_DIR')
250 ('/hacking/build_library/build_ansible/command_plugins/dump_config.py', 'DocumentConfig_class_initializer', 'name')
251 ('/hacking/build_library/build_ansible/command_plugins/porting_guide.py', 'module_initializer', '__metaclass__')
252 ('/hacking/build_library/build_ansible/command_plugins/porting_guide.py', 'module_initializer', 'PORTING_GUIDE_TEMPLATE')
253 ('/hacking/build_library/build_ansible/command_plugins/porting_guide.py', 'module_initializer', 'JINJA_ENV')
254 ('/hacking/build_library/build_ansible/command_plugins/porting_guide.py', 'PortingGuideCommand_class_initializer', 'name')
255 ('/hacking/build_library/build_ansible/command_plugins/release_announcement.py', 'module_initializer', '__metaclass__')
256 ('/hacking/build_library/build_ansible/command_plugins/release_announcement.py', 'ReleaseAnnouncementCommand_class_initializer', 'name')
257 ('/hacking/build_library/build_ansible/command_plugins/file_deprecated_issues.py', 'module_initializer', '__metaclass__')
258 ('/hacking/build_library/build_ansible/command_plugins/file_deprecated_issues.py', 'module_initializer', 'ANSIBLE_MAJOR_VERSION')
259 ('/lib/ansible/release.py', 'module_initializer', '__metaclass__')
260 ('/lib/ansible/release.py', 'module_initializer', '__version__')
261 ('/lib/ansible/release.py', 'module_initializer', '__author__')
262 ('/lib/ansible/release.py', 'module_initializer', '__codename__')
263 ('/hacking/build_library/build_ansible/command_plugins/file_deprecated_issues.py', 'FileDeprecationTickets_class_initializer', 'name')
264 ('/hacking/build_library/build_ansible/command_plugins/generate_man.py', 'module_initializer', '__metaclass__')
265 ('/hacking/build_library/build_ansible/command_plugins/generate_man.py', 'module_initializer', 'DEFAULT_TEMPLATE_FILE')
266 ('/hacking/build_library/build_ansible/command_plugins/generate_man.py', 'GenerateMan_class_initializer', 'name')
267 ('/hacking/build_library/build_ansible/command_plugins/dump_keywords.py', 'module_initializer', '__metaclass__')
268 ('/hacking/build_library/build_ansible/command_plugins/dump_keywords.py', 'module_initializer', 'DEFAULT_TEMPLATE_DIR')
269 ('/hacking/build_library/build_ansible/command_plugins/dump_keywords.py', 'module_initializer', 'TEMPLATE_FILE')
270 ('/hacking/build_library/build_ansible/command_plugins/dump_keywords.py', 'module_initializer', 'PLAYBOOK_CLASS_NAMES')
271 ('/hacking/build_library/build_ansible/command_plugins/dump_keywords.py', 'DocumentKeywords_class_initializer', 'name')
272 ('/hacking/build_library/build_ansible/command_plugins/update_intersphinx.py', 'module_initializer', '__metaclass__')
273 ('/hacking/build_library/build_ansible/command_plugins/update_intersphinx.py', 'module_initializer', 'EXAMPLE_CONF')
274 ('/hacking/build_library/build_ansible/command_plugins/update_intersphinx.py', 'UpdateIntersphinxCache_class_initializer', 'name')
275 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', '__metaclass__')
276 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'PULL_URL_RE')
277 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'PULL_HTTP_URL_RE')
278 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'PULL_BACKPORT_IN_TITLE')
279 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'PULL_CHERRY_PICKED_FROM')
280 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'TICKET_NUMBER')
281 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'token')
282 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'g')
283 ('/hacking/backport/backport_of_line_adder.py', 'module_initializer', 'ansible_ansible')
