0 ('/mtgjson5/price_builder.py', 'module_initializer', 'LOGGER')
1 ('/mtgjson5/providers/github_boosters.py', 'module_initializer', 'LOGGER')
2 ('/mtgjson5/providers/abstract.py', 'module_initializer', 'LOGGER')
3 ('/mtgjson5/providers/cardhoarder.py', 'module_initializer', 'LOGGER')
4 ('/mtgjson5/providers/gatherer.py', 'module_initializer', 'LOGGER')
5 ('/mtgjson5/providers/gatherer.py', 'GathererProvider_class_initializer', 'GATHERER_CARD')
6 ('/mtgjson5/providers/gatherer.py', 'GathererProvider_class_initializer', 'SETS_TO_REMOVE_PARENTHESES')
7 ('/mtgjson5/providers/cardmarket.py', 'module_initializer', 'LOGGER')
8 ('/mtgjson5/providers/github_decks.py', 'module_initializer', 'LOGGER')
9 ('/mtgjson5/providers/mtgban.py', 'module_initializer', 'LOGGER')
10 ('/mtgjson5/providers/cardkingdom.py', 'module_initializer', 'LOGGER')
11 ('/mtgjson5/providers/scryfall.py', 'module_initializer', 'LOGGER')
12 ('/mtgjson5/providers/tcgplayer.py', 'module_initializer', 'LOGGER')
13 ('/mtgjson5/providers/tcgplayer.py', 'CardCondition_class_initializer', 'NEAR_MINT')
14 ('/mtgjson5/providers/tcgplayer.py', 'CardCondition_class_initializer', 'LIGHTLY_PLAYED')
15 ('/mtgjson5/providers/tcgplayer.py', 'CardCondition_class_initializer', 'MODERATELY_PLAYED')
16 ('/mtgjson5/providers/tcgplayer.py', 'CardCondition_class_initializer', 'HEAVILY_PLAYED')
17 ('/mtgjson5/providers/tcgplayer.py', 'CardCondition_class_initializer', 'DAMAGED')
18 ('/mtgjson5/providers/tcgplayer.py', 'CardCondition_class_initializer', 'UNOPENED')
19 ('/mtgjson5/providers/tcgplayer.py', 'CardPrinting_class_initializer', 'NON_FOIL')
20 ('/mtgjson5/providers/tcgplayer.py', 'CardPrinting_class_initializer', 'FOIL')
21 ('/mtgjson5/providers/tcgplayer.py', 'CardLanguage_class_initializer', 'ENGLISH')
