0 ('/sc2/maps.py', 'module_initializer', 'logger')
1 ('/generate_id_constants_from_stableid.py', 'module_initializer', 'HEADER')
2 ('/generate_id_constants_from_stableid.py', 'module_initializer', 'PF')
3 ('/generate_id_constants_from_stableid.py', 'module_initializer', 'HOME_DIR')
4 ('/generate_id_constants_from_stableid.py', 'module_initializer', 'DATA_JSON')
5 ('/generate_id_constants_from_stableid.py', 'module_initializer', 'ENUM_TRANSLATE')
6 ('/generate_id_constants_from_stableid.py', 'module_initializer', 'FILE_TRANSLATE')
7 ('/generate_id_constants_from_stableid.py', 'module_initializer', 'data')
8 ('/setup.py', 'module_initializer', 'pfile')
9 ('/setup.py', 'module_initializer', 'requirements')
10 ('/setup.py', 'module_initializer', 'test_requirements')
11 ('/generate_id_constants.py', 'module_initializer', 'HEADER')
12 ('/generate_id_constants.py', 'module_initializer', 'PREFIXES')
13 ('/generate_id_constants.py', 'module_initializer', 'r')
14 ('/generate_id_constants.py', 'module_initializer', 'code')
15 ('/examples/__init__.py', 'module_initializer', '__all__')
16 ('/examples/run_external.py', 'module_initializer', 'parser')
17 ('/examples/run_external.py', 'module_initializer', 'args')
18 ('/examples/terran/__init__.py', 'module_initializer', '__all__')
19 ('/examples/zerg/__init__.py', 'module_initializer', '__all__')
20 ('/examples/protoss/__init__.py', 'module_initializer', '__all__')
21 ('/sc2/game_state.py', 'Common_class_initializer', 'ATTRIBUTES')
22 ('/sc2/sc2process.py', 'module_initializer', 'logger')
23 ('/sc2/bot_ai.py', 'module_initializer', 'logger')
24 ('/sc2/bot_ai.py', 'BotAI_class_initializer', 'EXPANSION_GAP_THRESHOLD')
25 ('/sc2/controller.py', 'module_initializer', 'logger')
26 ('/sc2/paths.py', 'module_initializer', 'logger')
27 ('/sc2/paths.py', 'module_initializer', 'BASEDIR')
28 ('/sc2/paths.py', 'module_initializer', 'USERPATH')
29 ('/sc2/paths.py', 'module_initializer', 'BINPATH')
30 ('/sc2/paths.py', 'module_initializer', 'CWD')
31 ('/sc2/paths.py', 'module_initializer', 'PF')
32 ('/sc2/protocol.py', 'module_initializer', 'logger')
33 ('/sc2/client.py', 'module_initializer', 'logger')
