0 ('/wemake_python_styleguide/visitors/ast/naming.py', 'module_initializer', '_VariableDef')
1 ('/wemake_python_styleguide/visitors/ast/naming.py', 'module_initializer', '_ErrorCallback')
2 ('/wemake_python_styleguide/visitors/ast/naming.py', 'module_initializer', '_PredicateCallback')
3 ('/wemake_python_styleguide/visitors/ast/naming.py', 'module_initializer', '_Predicates')
4 ('/wemake_python_styleguide/violations/base.py', 'module_initializer', 'ErrorNode')
5 ('/wemake_python_styleguide/violations/base.py', 'module_initializer', 'ErrorCallback')
6 ('/wemake_python_styleguide/violations/base.py', 'ViolationPostfixes_class_initializer', 'bigger_than')
7 ('/wemake_python_styleguide/violations/base.py', 'ViolationPostfixes_class_initializer', 'less_than')
8 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'FUNCTIONS_BLACKLIST')
9 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MODULE_METADATA_VARIABLES_BLACKLIST')
10 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'VARIABLE_NAMES_BLACKLIST')
11 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'UNREADABLE_CHARACTER_COMBINATIONS')
12 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'SPECIAL_ARGUMENT_NAMES_WHITELIST')
13 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'ALL_MAGIC_METHODS')
14 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAGIC_METHODS_BLACKLIST')
15 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'YIELD_MAGIC_METHODS_BLACKLIST')
16 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'ASYNC_MAGIC_METHODS_BLACKLIST')
17 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'ALLOWED_BUILTIN_CLASSES')
18 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'NESTED_FUNCTIONS_WHITELIST')
19 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'FUTURE_IMPORTS_WHITELIST')
20 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MODULE_NAMES_BLACKLIST')
21 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAGIC_MODULE_NAMES_WHITELIST')
22 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAGIC_MODULE_NAMES_BLACKLIST')
23 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MODULE_NAME_PATTERN')
24 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAGIC_NUMBERS_WHITELIST')
25 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAX_NO_COVER_COMMENTS')
26 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAX_LEN_YIELD_TUPLE')
27 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAX_COMPARES')
28 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAX_CONDITIONS')
