0 ('/setup.py', 'find_package_info', 'file_paths')
1 ('/setup.py', 'find_package_info', 'info_file')
2 ('/setup.py', 'find_package_info', 'version_match')
3 ('/setup.py', 'find_package_info', 'author_match')
4 ('/setup.py', '_validate_install_ansible_base', 'sys_modules')
5 ('/setup.py', '_validate_install_ansible_base', 'sys_modules_keys')
6 ('/setup.py', '_validate_install_ansible_base', 'sys_path')
7 ('/setup.py', '_validate_install_ansible_base', 'abspath')
8 ('/setup.py', '_validate_install_ansible_base', 'p')
9 ('/setup.py', '_validate_install_ansible_base', 'version_tuple')
10 ('/setup.py', '_validate_install_ansible_base', 'v')
11 ('/setup.py', '_validate_install_ansible_base', 'stars')
12 ('/setup.py', '_validate_install_ansible_base', 'key')
13 ('/setup.py', '_find_symlinks', 'topdir')
14 ('/setup.py', '_find_symlinks', 'extension')
15 ('/setup.py', '_find_symlinks', 'symlinks')
16 ('/setup.py', '_find_symlinks', 'filepath')
17 ('/setup.py', '_find_symlinks', 'target')
18 ('/setup.py', '_find_symlinks', 'link')
19 ('/setup.py', '_find_symlinks', 'levels_deep')
20 ('/setup.py', '_find_symlinks', 'target_depth')
21 ('/setup.py', '_find_symlinks', 'path_component')
22 ('/setup.py', '_find_symlinks', 'filename')
23 ('/setup.py', '_find_symlinks', 'base_path')
24 ('/setup.py', '_find_symlinks', 'dirs')
25 ('/setup.py', '_find_symlinks', 'files')
26 ('/setup.py', '_cache_symlinks', 'symlink_data')
27 ('/setup.py', '_maintain_symlinks', 'symlink_type')
28 ('/setup.py', '_maintain_symlinks', 'base_path')
29 ('/setup.py', '_maintain_symlinks', 'symlink_data')
30 ('/setup.py', '_maintain_symlinks', 'library_symlinks')
31 ('/setup.py', '_maintain_symlinks', 'symlinks')
32 ('/setup.py', '_maintain_symlinks', 'dest_path')
33 ('/setup.py', '_maintain_symlinks', 'dest')
34 ('/setup.py', '_maintain_symlinks', 'source')
35 ('/setup.py', 'run', 'self')
36 ('/setup.py', 'run', 'library_symlinks')
37 ('/setup.py', 'run', 'symlinks')
38 ('/setup.py', 'read_file', 'file_name')
39 ('/setup.py', 'read_requirements', 'file_name')
40 ('/setup.py', 'read_requirements', 'reqs')
41 ('/setup.py', 'get_crypto_req', 'crypto_backend')
42 ('/setup.py', 'is_not_crypto', 'r')
43 ('/setup.py', 'is_not_crypto', 'CRYPTO_LIBS')
44 ('/setup.py', 'substitute_crypto_to_req', 'req')
45 ('/setup.py', 'substitute_crypto_to_req', 'crypto_backend')
46 ('/setup.py', 'main', 'setup_params')
47 ('/setup.py', 'main', 'ignore_warning_regex')
48 ('/setup.py', 'module_initializer', '__metaclass__')
49 ('/setup.py', 'module_initializer', 'SYMLINK_CACHE')
50 ('/setup.py', 'module_initializer', 'PYCRYPTO_DIST')
51 ('/setup.py', 'module_initializer', 'here')
52 ('/setup.py', 'module_initializer', '__version__')
53 ('/setup.py', 'module_initializer', '__author__')
54 ('/setup.py', 'module_initializer', 'static_setup_params')
55 ('/packaging/sdist/check-link-behavior.py', 'main', 'temp_dir')
56 ('/packaging/sdist/check-link-behavior.py', 'main', 'target_path')
57 ('/packaging/sdist/check-link-behavior.py', 'main', 'symlink_path')
58 ('/packaging/sdist/check-link-behavior.py', 'main', 'hardlink_path')
59 ('/packaging/sdist/check-link-behavior.py', 'module_initializer', '__metaclass__')
60 ('/docs/bin/find-plugin-refs.py', 'plugin_names', 'topdir')
61 ('/docs/bin/find-plugin-refs.py', 'plugin_names', 'plugins')
62 ('/docs/bin/find-plugin-refs.py', 'plugin_names', 'module_filename')
63 ('/docs/bin/find-plugin-refs.py', 'plugin_names', 'module_name')
64 ('/docs/bin/find-plugin-refs.py', 'plugin_names', 'plugin_filename')
65 ('/docs/bin/find-plugin-refs.py', 'plugin_names', 'plugin_name')
66 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'topdir')
67 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'plugin_names')
68 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'REF_RE')
69 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'LABEL_RE')
70 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'data')
71 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'label')
72 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'label_match')
73 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'ref_match')
74 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'filename')
75 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'dirpath')
76 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'dirnames')
77 ('/docs/bin/find-plugin-refs.py', 'process_refs', 'filenames')
78 ('/docs/bin/find-plugin-refs.py', 'module_initializer', '__metaclass__')
79 ('/docs/bin/find-plugin-refs.py', 'module_initializer', 'TOPDIR')
80 ('/docs/bin/find-plugin-refs.py', 'module_initializer', 'plugins')
81 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'get_html_theme_path', 'cur_dir')
82 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'setup', 'app')
83 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'module_initializer', '__metaclass__')
84 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'module_initializer', '__version__')
85 ('/docs/docsite/_themes/sphinx_rtd_theme/__init__.py', 'module_initializer', '__version_full__')
86 ('/docs/docsite/rst/conf.py', 'module_initializer', '__metaclass__')
87 ('/docs/docsite/rst/conf.py', 'module_initializer', 'VERSION')
88 ('/docs/docsite/rst/conf.py', 'module_initializer', 'AUTHOR')
89 ('/docs/docsite/rst/conf.py', 'module_initializer', 'extensions')
90 ('/docs/docsite/rst/conf.py', 'module_initializer', 'templates_path')
91 ('/docs/docsite/rst/conf.py', 'module_initializer', 'source_suffix')
92 ('/docs/docsite/rst/conf.py', 'module_initializer', 'master_doc')
93 ('/docs/docsite/rst/conf.py', 'module_initializer', 'project')
94 ('/docs/docsite/rst/conf.py', 'module_initializer', 'copyright')
95 ('/docs/docsite/rst/conf.py', 'module_initializer', 'version')
96 ('/docs/docsite/rst/conf.py', 'module_initializer', 'release')
97 ('/docs/docsite/rst/conf.py', 'module_initializer', 'today_fmt')
98 ('/docs/docsite/rst/conf.py', 'module_initializer', 'pygments_style')
99 ('/docs/docsite/rst/conf.py', 'module_initializer', 'highlight_language')
100 ('/docs/docsite/rst/conf.py', 'module_initializer', 'rst_epilog')
101 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_theme_path')
102 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_theme')
103 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_short_title')
104 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_show_sphinx')
105 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_theme_options')
106 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_context')
107 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_title')
108 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_static_path')
109 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_last_updated_fmt')
110 ('/docs/docsite/rst/conf.py', 'module_initializer', 'html_copy_source')
111 ('/docs/docsite/rst/conf.py', 'module_initializer', 'htmlhelp_basename')
112 ('/docs/docsite/rst/conf.py', 'module_initializer', 'notfound_default_language')
113 ('/docs/docsite/rst/conf.py', 'module_initializer', 'notfound_default_version')
114 ('/docs/docsite/rst/conf.py', 'module_initializer', 'notfound_no_urls_prefix')
115 ('/docs/docsite/rst/conf.py', 'module_initializer', 'latex_documents')
116 ('/docs/docsite/rst/conf.py', 'module_initializer', 'autoclass_content')
117 ('/docs/docsite/rst/conf.py', 'module_initializer', 'intersphinx_mapping')
118 ('/docs/docsite/rst/conf.py', 'module_initializer', 'linkcheck_ignore')
119 ('/docs/docsite/rst/conf.py', 'module_initializer', 'linkcheck_workers')
120 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'name')
121 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'int_part')
122 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'frac_part')
123 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'exp_part')
124 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputPrimaryLexer_class_initializer', 'tokens')
125 ('/docs/docsite/_extensions/pygments_lexer.py', '__init__', 'self')
126 ('/docs/docsite/_extensions/pygments_lexer.py', '__init__', 'options')
127 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputLexer_class_initializer', 'name')
128 ('/docs/docsite/_extensions/pygments_lexer.py', 'AnsibleOutputLexer_class_initializer', 'aliases')
129 ('/docs/docsite/_extensions/pygments_lexer.py', 'setup', 'app')
130 ('/docs/docsite/_extensions/pygments_lexer.py', 'setup', 'alias')
131 ('/docs/docsite/_extensions/pygments_lexer.py', 'setup', 'lexer')
132 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__metaclass__')
133 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__version__')
134 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__license__')
135 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__author__')
136 ('/docs/docsite/_extensions/pygments_lexer.py', 'module_initializer', '__author_email__')
137 ('/examples/scripts/uptime.py', '__init__', 'self')
138 ('/examples/scripts/uptime.py', '__init__', 'args')
139 ('/examples/scripts/uptime.py', '__init__', 'kwargs')
140 ('/examples/scripts/uptime.py', 'v2_runner_on_unreachable', 'self')
141 ('/examples/scripts/uptime.py', 'v2_runner_on_unreachable', 'result')
142 ('/examples/scripts/uptime.py', 'v2_runner_on_unreachable', 'host')
143 ('/examples/scripts/uptime.py', 'v2_runner_on_ok', 'self')
144 ('/examples/scripts/uptime.py', 'v2_runner_on_ok', 'result')
145 ('/examples/scripts/uptime.py', 'v2_runner_on_ok', 'args')
146 ('/examples/scripts/uptime.py', 'v2_runner_on_ok', 'kwargs')
147 ('/examples/scripts/uptime.py', 'v2_runner_on_ok', 'host')
148 ('/examples/scripts/uptime.py', 'v2_runner_on_failed', 'self')
149 ('/examples/scripts/uptime.py', 'v2_runner_on_failed', 'result')
150 ('/examples/scripts/uptime.py', 'v2_runner_on_failed', 'args')
151 ('/examples/scripts/uptime.py', 'v2_runner_on_failed', 'kwargs')
152 ('/examples/scripts/uptime.py', 'v2_runner_on_failed', 'host')
153 ('/examples/scripts/uptime.py', 'main', 'host_list')
154 ('/examples/scripts/uptime.py', 'main', 'sources')
155 ('/examples/scripts/uptime.py', 'main', 'loader')
156 ('/examples/scripts/uptime.py', 'main', 'passwords')
157 ('/examples/scripts/uptime.py', 'main', 'results_callback')
158 ('/examples/scripts/uptime.py', 'main', 'inventory')
159 ('/examples/scripts/uptime.py', 'main', 'variable_manager')
160 ('/examples/scripts/uptime.py', 'main', 'tqm')
161 ('/examples/scripts/uptime.py', 'main', 'play_source')
162 ('/examples/scripts/uptime.py', 'main', 'play')
163 ('/examples/scripts/uptime.py', 'main', 'result')
164 ('/examples/scripts/uptime.py', 'main', 'host')
165 ('/examples/scripts/uptime.py', 'module_initializer', '__metaclass__')
166 ('/hacking/build-ansible.py', 'build_lib_path', 'this_script')
167 ('/hacking/build-ansible.py', 'build_lib_path', 'hacking_dir')
168 ('/hacking/build-ansible.py', 'build_lib_path', 'libdir')
169 ('/hacking/build-ansible.py', 'ansible_lib_path', 'this_script')
170 ('/hacking/build-ansible.py', 'ansible_lib_path', 'hacking_dir')
171 ('/hacking/build-ansible.py', 'ansible_lib_path', 'libdir')
172 ('/hacking/build-ansible.py', 'create_arg_parser', 'program_name')
173 ('/hacking/build-ansible.py', 'create_arg_parser', 'parser')
174 ('/hacking/return_skeleton_generator.py', 'represent_ordereddict', 'dumper')
175 ('/hacking/return_skeleton_generator.py', 'represent_ordereddict', 'data')
176 ('/hacking/return_skeleton_generator.py', 'represent_ordereddict', 'value')
177 ('/hacking/return_skeleton_generator.py', 'represent_ordereddict', 'node_key')
178 ('/hacking/return_skeleton_generator.py', 'represent_ordereddict', 'node_value')
179 ('/hacking/return_skeleton_generator.py', 'represent_ordereddict', 'item_key')
180 ('/hacking/return_skeleton_generator.py', 'represent_ordereddict', 'item_value')
181 ('/hacking/return_skeleton_generator.py', 'get_return_data', 'key')
182 ('/hacking/return_skeleton_generator.py', 'get_return_data', 'value')
183 ('/hacking/return_skeleton_generator.py', 'get_return_data', 'returns_info')
184 ('/hacking/return_skeleton_generator.py', 'get_all_items', 'data')
185 ('/hacking/return_skeleton_generator.py', 'get_all_items', 'items')
186 ('/hacking/return_skeleton_generator.py', 'get_all_items', 'key')
187 ('/hacking/return_skeleton_generator.py', 'get_all_items', 'value')
188 ('/hacking/return_skeleton_generator.py', 'get_all_items', 'result')
189 ('/hacking/return_skeleton_generator.py', 'get_all_items', 'item')
190 ('/hacking/return_skeleton_generator.py', 'main', 'args')
191 ('/hacking/return_skeleton_generator.py', 'main', 'src')
192 ('/hacking/return_skeleton_generator.py', 'main', 'data')
193 ('/hacking/return_skeleton_generator.py', 'main', 'docs')
194 ('/hacking/return_skeleton_generator.py', 'module_initializer', '__metaclass__')
195 ('/hacking/test-module.py', 'parse', 'parser')
196 ('/hacking/test-module.py', 'parse', 'options')
197 ('/hacking/test-module.py', 'parse', 'args')
198 ('/hacking/test-module.py', 'write_argsfile', 'argstring')
199 ('/hacking/test-module.py', 'write_argsfile', 'json')
200 ('/hacking/test-module.py', 'write_argsfile', 'argspath')
201 ('/hacking/test-module.py', 'write_argsfile', 'argsfile')
202 ('/hacking/test-module.py', 'write_argsfile', 'args')
203 ('/hacking/test-module.py', 'get_interpreters', 'interpreter')
204 ('/hacking/test-module.py', 'get_interpreters', 'result')
205 ('/hacking/test-module.py', 'get_interpreters', 'interpreter_type')
206 ('/hacking/test-module.py', 'get_interpreters', 'interpreter_path')
207 ('/hacking/test-module.py', 'boilerplate_module', 'modfile')
208 ('/hacking/test-module.py', 'boilerplate_module', 'args')
209 ('/hacking/test-module.py', 'boilerplate_module', 'interpreters')
210 ('/hacking/test-module.py', 'boilerplate_module', 'check')
211 ('/hacking/test-module.py', 'boilerplate_module', 'destfile')
212 ('/hacking/test-module.py', 'boilerplate_module', 'loader')
213 ('/hacking/test-module.py', 'boilerplate_module', 'complex_args')
214 ('/hacking/test-module.py', 'boilerplate_module', 'parsed_args')
215 ('/hacking/test-module.py', 'boilerplate_module', 'task_vars')
216 ('/hacking/test-module.py', 'boilerplate_module', 'modname')
217 ('/hacking/test-module.py', 'boilerplate_module', 'module_data')
218 ('/hacking/test-module.py', 'boilerplate_module', 'module_style')
219 ('/hacking/test-module.py', 'boilerplate_module', 'shebang')
220 ('/hacking/test-module.py', 'boilerplate_module', 'modfile2_path')
221 ('/hacking/test-module.py', 'boilerplate_module', 'modfile2')
222 ('/hacking/test-module.py', 'ansiballz_setup', 'modfile')
223 ('/hacking/test-module.py', 'ansiballz_setup', 'modname')
224 ('/hacking/test-module.py', 'ansiballz_setup', 'interpreters')
225 ('/hacking/test-module.py', 'ansiballz_setup', 'command')
226 ('/hacking/test-module.py', 'ansiballz_setup', 'cmd')
