0 ('/invoke/context.py', '_prefix_commands', '_prefix_commands_ret')
1 ('/invoke/context.py', '_run', '_run_ret')
2 ('/invoke/context.py', '_sudo', '_sudo_ret')
3 ('/invoke/context.py', 'cd', 'cd_ret')
4 ('/invoke/context.py', 'prefix', 'prefix_ret')
5 ('/invoke/context.py', 'run', 'run_ret')
6 ('/invoke/context.py', 'sudo', 'sudo_ret')
7 ('/invoke/context.py', '_yield_result', '_yield_result_ret')
8 ('/invoke/__init__.py', 'run', 'run_ret')
9 ('/invoke/__init__.py', 'sudo', 'sudo_ret')
10 ('/invoke/runners.py', '_write_proc_stdin', '_write_proc_stdin_ret')
11 ('/invoke/runners.py', 'read_proc_stderr', 'read_proc_stderr_ret')
12 ('/invoke/runners.py', 'read_proc_stdout', 'read_proc_stdout_ret')
13 ('/invoke/runners.py', 'returncode', 'returncode_ret')
14 ('/invoke/runners.py', 'should_use_pty', 'should_use_pty_ret')
15 ('/invoke/runners.py', '__enter__', '__enter___ret')
16 ('/invoke/runners.py', 'join', 'join_ret')
17 ('/invoke/runners.py', '__bool__', '__bool___ret')
18 ('/invoke/runners.py', '__nonzero__', '__nonzero___ret')
19 ('/invoke/runners.py', '__repr__', '__repr___ret')
20 ('/invoke/runners.py', '__str__', '__str___ret')
21 ('/invoke/runners.py', 'tail', 'tail_ret')
22 ('/invoke/runners.py', '_collate_result', '_collate_result_ret')
23 ('/invoke/runners.py', '_finish', '_finish_ret')
24 ('/invoke/runners.py', '_run_body', '_run_body_ret')
25 ('/invoke/runners.py', '_thread_join_timeout', '_thread_join_timeout_ret')
26 ('/invoke/runners.py', 'close_proc_stdin', 'close_proc_stdin_ret')
27 ('/invoke/runners.py', 'create_io_threads', 'create_io_threads_ret')
28 ('/invoke/runners.py', 'decode', 'decode_ret')
29 ('/invoke/runners.py', 'default_encoding', 'default_encoding_ret')
30 ('/invoke/runners.py', 'generate_env', 'generate_env_ret')
31 ('/invoke/runners.py', 'generate_result', 'generate_result_ret')
32 ('/invoke/runners.py', 'kill', 'kill_ret')
33 ('/invoke/runners.py', 'make_promise', 'make_promise_ret')
34 ('/invoke/runners.py', 'read_our_stdin', 'read_our_stdin_ret')
35 ('/invoke/runners.py', 'read_proc_output', 'read_proc_output_ret')
36 ('/invoke/runners.py', 'run', 'run_ret')
