0 ('/setup.py', 'module_initializer', 'project_root')
1 ('/setup.py', 'module_initializer', 'config_file')
2 ('/setup.py', 'module_initializer', 'config')
3 ('/mtgjson5/referral_builder.py', 'build_and_write_referral_map', 'mtgjson_set')
4 ('/mtgjson5/referral_builder.py', 'build_and_write_referral_map', 'referral_map')
5 ('/mtgjson5/referral_builder.py', 'build_referral_map', 'mtgjson_set')
6 ('/mtgjson5/referral_builder.py', 'build_referral_map', 'return_list')
7 ('/mtgjson5/referral_builder.py', 'build_referral_map', 'string_regex')
8 ('/mtgjson5/referral_builder.py', 'build_referral_map', 'service')
9 ('/mtgjson5/referral_builder.py', 'build_referral_map', 'url')
10 ('/mtgjson5/referral_builder.py', 'build_referral_map', 'mtgjson_card_object')
11 ('/mtgjson5/referral_builder.py', 'write_referral_map', 'single_set_referral_map')
12 ('/mtgjson5/referral_builder.py', 'write_referral_map', 'entry')
13 ('/mtgjson5/referral_builder.py', 'fixup_referral_map', 'lines')
14 ('/mtgjson5/referral_builder.py', 'module_initializer', 'LOGGER')
15 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'directory')
16 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'single_set_files')
17 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'file')
18 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'set_file')
19 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'deck_files')
20 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'deck_file')
21 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'sql_files')
22 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'sql_file')
23 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'csv_files')
24 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'csv_file')
25 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'compiled_files')
26 ('/mtgjson5/compress_generator.py', 'compress_mtgjson_contents', 'compiled_file')
27 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_directory', 'files')
28 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_directory', 'directory')
29 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_directory', 'output_file')
30 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_directory', 'temp_dir')
31 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_directory', 'file')
32 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_directory', 'compression_commands')
33 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_file', 'file')
34 ('/mtgjson5/compress_generator.py', '_compress_mtgjson_file', 'compression_commands')
35 ('/mtgjson5/compress_generator.py', '_compressor', 'compression_commands')
36 ('/mtgjson5/compress_generator.py', '_compressor', 'processes')
37 ('/mtgjson5/compress_generator.py', '_compressor', 'command')
38 ('/mtgjson5/compress_generator.py', '_compressor', 'process')
39 ('/mtgjson5/compress_generator.py', 'module_initializer', 'LOGGER')
40 ('/mtgjson5/set_builder.py', 'parse_foreign', 'sf_prints_url')
41 ('/mtgjson5/set_builder.py', 'parse_foreign', 'card_name')
42 ('/mtgjson5/set_builder.py', 'parse_foreign', 'card_number')
43 ('/mtgjson5/set_builder.py', 'parse_foreign', 'set_name')
44 ('/mtgjson5/set_builder.py', 'parse_foreign', 'card_foreign_entries')
45 ('/mtgjson5/set_builder.py', 'parse_foreign', 'prints_api_json')
46 ('/mtgjson5/set_builder.py', 'parse_foreign', 'card_foreign_entry')
47 ('/mtgjson5/set_builder.py', 'parse_foreign', 'face')
48 ('/mtgjson5/set_builder.py', 'parse_foreign', 'face_data')
49 ('/mtgjson5/set_builder.py', 'parse_foreign', 'foreign_card')
50 ('/mtgjson5/set_builder.py', 'parse_card_types', 'card_type')
51 ('/mtgjson5/set_builder.py', 'parse_card_types', 'sub_types')
52 ('/mtgjson5/set_builder.py', 'parse_card_types', 'super_types')
53 ('/mtgjson5/set_builder.py', 'parse_card_types', 'types')
54 ('/mtgjson5/set_builder.py', 'parse_card_types', 'supertypes_and_types')
55 ('/mtgjson5/set_builder.py', 'parse_card_types', 'split_type')
56 ('/mtgjson5/set_builder.py', 'parse_card_types', 'subtypes')
57 ('/mtgjson5/set_builder.py', 'parse_card_types', 'x')
58 ('/mtgjson5/set_builder.py', 'parse_card_types', 'value')
59 ('/mtgjson5/set_builder.py', 'get_card_colors', 'mana_cost')
60 ('/mtgjson5/set_builder.py', 'get_card_colors', 'color_options')
61 ('/mtgjson5/set_builder.py', 'get_card_colors', 'ret_val')
62 ('/mtgjson5/set_builder.py', 'get_card_colors', 'color')
63 ('/mtgjson5/set_builder.py', 'get_scryfall_set_data', 'set_code')
64 ('/mtgjson5/set_builder.py', 'get_scryfall_set_data', 'set_data')
65 ('/mtgjson5/set_builder.py', 'is_number', 'string')
66 ('/mtgjson5/set_builder.py', 'get_card_cmc', 'mana_cost')
67 ('/mtgjson5/set_builder.py', 'get_card_cmc', 'total')
68 ('/mtgjson5/set_builder.py', 'get_card_cmc', 'symbol')
69 ('/mtgjson5/set_builder.py', 'get_card_cmc', 'element')
70 ('/mtgjson5/set_builder.py', 'parse_printings', 'sf_prints_url')
71 ('/mtgjson5/set_builder.py', 'parse_printings', 'card_sets')
72 ('/mtgjson5/set_builder.py', 'parse_printings', 'prints_api_json')
73 ('/mtgjson5/set_builder.py', 'parse_printings', 'card')
74 ('/mtgjson5/set_builder.py', 'parse_legalities', 'sf_card_legalities')
75 ('/mtgjson5/set_builder.py', 'parse_legalities', 'card_legalities')
76 ('/mtgjson5/set_builder.py', 'parse_legalities', 'key')
77 ('/mtgjson5/set_builder.py', 'parse_legalities', 'value')
78 ('/mtgjson5/set_builder.py', 'parse_rulings', 'rulings_url')
79 ('/mtgjson5/set_builder.py', 'parse_rulings', 'rules_api_json')
80 ('/mtgjson5/set_builder.py', 'parse_rulings', 'mtgjson_rules')
81 ('/mtgjson5/set_builder.py', 'parse_rulings', 'mtgjson_rule')
82 ('/mtgjson5/set_builder.py', 'parse_rulings', 'sf_rule')
83 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'mtgjson_set')
84 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'token_types')
85 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'tokens_found')
86 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'card')
87 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'scryfall_id')
88 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'set_code')
89 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'mtgjson_cards')
90 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'land_pile_marked')
91 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'side_letter_as_number')
92 ('/mtgjson5/set_builder.py', 'mark_duel_decks', '_type')
93 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'card')
94 ('/mtgjson5/set_builder.py', 'parse_keyrune_code', 'url')
95 ('/mtgjson5/set_builder.py', 'parse_keyrune_code', 'file_stem')
96 ('/mtgjson5/set_builder.py', 'parse_keyrune_code', 'upstream_to_keyrune_map')
97 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'set_code')
98 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'mtgjson_set')
99 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'set_data')
100 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'base_total_sizes')
101 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_tokens', 'set_code')
102 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_tokens', 'added_tokens')
103 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'set_code')
104 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'additional_cards')
105 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'is_token')
106 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'set_release_date')
107 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'cards')
108 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'mtgjson_cards')
109 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'set_code')
110 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'search_url')
111 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'mtgjson_cards')
112 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'starter_card_url')
113 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'starter_cards')
