0 ('/pygal/view.py', 'x', 'x_ret')
1 ('/pygal/view.py', 'y', 'y_ret')
2 ('/pygal/view.py', '__call__', '__call___ret')
3 ('/pygal/stats.py', 'confidence_interval_continuous', 'confidence_interval_continuous_ret')
4 ('/pygal/stats.py', 'confidence_interval_dichotomous', 'confidence_interval_dichotomous_ret')
5 ('/pygal/stats.py', 'confidence_interval_manual', 'confidence_interval_manual_ret')
6 ('/pygal/stats.py', 'erfinv', 'erfinv_ret')
7 ('/pygal/stats.py', 'norm_ppf', 'norm_ppf_ret')
8 ('/pygal/stats.py', 'ppf', 'ppf_ret')
9 ('/pygal/__init__.py', 'find_module', 'find_module_ret')
10 ('/pygal/__init__.py', 'load_module', 'load_module_ret')
11 ('/pygal/etree.py', '__getattribute__', '__getattribute___ret')
12 ('/pygal/style.py', 'get_colors', 'get_colors_ret')
13 ('/pygal/style.py', 'to_dict', 'to_dict_ret')
14 ('/pygal/svg.py', 'get_strokes', 'get_strokes_ret')
15 ('/pygal/svg.py', 'line', 'line_ret')
16 ('/pygal/svg.py', 'node', 'node_ret')
17 ('/pygal/svg.py', 'render', 'render_ret')
18 ('/pygal/svg.py', 'serie', 'serie_ret')
19 ('/pygal/svg.py', 'slice', 'slice_ret')
20 ('/pygal/svg.py', 'transposable_node', 'transposable_node_ret')
21 ('/pygal/table.py', '__getattribute__', '__getattribute___ret')
22 ('/pygal/table.py', 'render', 'render_ret')
23 ('/pygal/_compat.py', 'tzname', 'tzname_ret')
24 ('/pygal/_compat.py', 'utcoffset', 'utcoffset_ret')
25 ('/pygal/_compat.py', 'is_list_like', 'is_list_like_ret')
26 ('/pygal/_compat.py', 'is_str', 'is_str_ret')
27 ('/pygal/_compat.py', 'timestamp', 'timestamp_ret')
28 ('/pygal/_compat.py', 'to_str', 'to_str_ret')
29 ('/pygal/_compat.py', 'to_unicode', 'to_unicode_ret')
30 ('/pygal/_compat.py', 'u', 'u_ret')
31 ('/pygal/util.py', '__get__', '__get___ret')
32 ('/pygal/util.py', '_swap_curly', '_swap_curly_ret')
33 ('/pygal/util.py', 'compose', 'compose_ret')
34 ('/pygal/util.py', 'compute_logarithmic_scale', 'compute_logarithmic_scale_ret')
35 ('/pygal/util.py', 'compute_scale', 'compute_scale_ret')
36 ('/pygal/util.py', 'coord_abs_project', 'coord_abs_project_ret')
37 ('/pygal/util.py', 'coord_diff', 'coord_diff_ret')
38 ('/pygal/util.py', 'coord_dual', 'coord_dual_ret')
39 ('/pygal/util.py', 'coord_format', 'coord_format_ret')
