('/lib/ansible/utils/version.py', 'SemanticVersion_class_initializer', 'version_re') 1
('/lib/ansible/utils/collection_loader/_collection_finder.py', 'AnsibleCollectionRef_class_initializer', 'VALID_COLLECTION_NAME_RE') 1
('/lib/ansible/utils/collection_loader/_collection_finder.py', 'AnsibleCollectionRef_class_initializer', 'VALID_SUBDIRS_RE') 1
('/lib/ansible/utils/collection_loader/_collection_finder.py', 'AnsibleCollectionRef_class_initializer', 'VALID_FQCR_RE') 1
('/lib/ansible/cli/__init__.py', 'CLI_class_initializer', '_ITALIC') 1
('/lib/ansible/cli/__init__.py', 'CLI_class_initializer', '_BOLD') 1
('/lib/ansible/cli/__init__.py', 'CLI_class_initializer', '_MODULE') 1
('/lib/ansible/cli/__init__.py', 'CLI_class_initializer', '_URL') 1
('/lib/ansible/cli/__init__.py', 'CLI_class_initializer', '_CONST') 1
('/lib/ansible/module_utils/facts/hardware/linux.py', 'LinuxHardware_class_initializer', 'BIND_MOUNT_RE') 1
('/lib/ansible/module_utils/facts/hardware/linux.py', 'LinuxHardware_class_initializer', 'MTAB_BIND_MOUNT_RE') 1
('/lib/ansible/module_utils/facts/hardware/linux.py', 'LinuxHardware_class_initializer', 'OCTAL_ESCAPE_RE') 1
('/lib/ansible/modules/pip.py', 'Package_class_initializer', '_CANONICALIZE_RE') 1
('/lib/ansible/plugins/loader.py', '_load_module_source', 'spec') 1
