('/lib/ansible/constants.py', 'module_initializer', 'BOOL_TRUE') 1
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'advance_iterator') 1
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'unichr') 5
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'int2byte') 1
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'iterbytes') 1
('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'JINJA_ENV') 1
('/hacking/build_library/build_ansible/command_plugins/porting_guide.py', 'module_initializer', 'JINJA_ENV') 1
('/lib/ansible/plugins/cache/__init__.py', 'BaseCacheModule_class_initializer', '_display') 1
('/lib/ansible/plugins/lookup/sequence.py', 'module_initializer', 'SHORTCUT') 1
('/lib/ansible/plugins/inventory/toml.py', 'module_initializer', 'toml_dumps') 1
('/lib/ansible/utils/multiprocessing.py', 'module_initializer', 'context') 1
('/lib/ansible/galaxy/collection.py', 'module_initializer', 'display') 5
('/lib/ansible/plugins/callback/__init__.py', 'CallbackBase_class_initializer', '_copy_result') 1
('/lib/ansible/errors/__init__.py', '__init__', 'extended_error') 1
('/lib/ansible/errors/__init__.py', '_get_extended_error', 'error_message') 8
('/lib/ansible/module_utils/basic.py', 'remove_values', 'deferred_removals') 1
('/lib/ansible/module_utils/compat/_selectors2.py', 'register', 'key') 1
('/lib/ansible/plugins/inventory/__init__.py', '_add_host_to_composed_groups', 'result') 1
('/lib/ansible/executor/powershell/module_manifest.py', '_add_module', 'name') 1
('/lib/ansible/module_utils/urls.py', 'make_context', 'context') 5
('/lib/ansible/module_utils/common/dict_transformations.py', 'camel_dict_to_snake_dict', 'ignore_list') 1
('/lib/ansible/executor/module_common.py', '_find_module_utils', 'output') 1
('/lib/ansible/executor/module_common.py', '_find_module_utils', 'zipoutput') 1
('/lib/ansible/executor/module_common.py', '_find_module_utils', 'now') 1
('/lib/ansible/utils/collection_loader/_collection_finder.py', '_get_collection_metadata', 'collection_pkg') 1
('/lib/ansible/module_utils/facts/system/date_time.py', 'collect', 'now') 1
('/lib/ansible/module_utils/facts/system/date_time.py', 'collect', 'utcnow') 1
('/lib/ansible/cli/arguments/option_helpers.py', '_git_repo_info', 'date') 1
('/lib/ansible/utils/hashing.py', 'secure_hash_s', 'hash_func') 1
('/lib/ansible/galaxy/collection.py', '_consume_file', 'sha256_digest') 1
('/lib/ansible/galaxy/collection.py', '_build_collection_tar', 'b_io') 1
('/lib/ansible/plugins/strategy/__init__.py', '_queue_task', 'worker_prc') 8
('/lib/ansible/executor/play_iterator.py', '__init__', 'setup_block') 6
('/lib/ansible/inventory/data.py', '_create_implicit_localhost', 'new_host') 6
('/lib/ansible/inventory/manager.py', '_match_one_pattern', 'slice') 6
('/lib/ansible/utils/collection_loader/_collection_finder.py', '__init__', 'collection_finder') 6
('/lib/ansible/utils/collection_loader/_collection_finder.py', '_get_collection_role_path', 'pkg') 1
('/lib/ansible/utils/collection_loader/_collection_finder.py', '_new_or_existing_module', 'module') 1
('/lib/ansible/module_utils/basic.py', 'sanitize_keys', 'deferred_removals') 1
('/lib/ansible/module_utils/basic.py', '_sanitize_keys_conditions', 'deferred_removals') 1
