('/scripts/check_generic_visit.py', 'module_initializer', 'my_print') 1
('/wemake_python_styleguide/visitors/decorators.py', 'module_initializer', '_DefinedType') 1
('/wemake_python_styleguide/logic/walk.py', 'module_initializer', '_SubnodeType') 1
('/wemake_python_styleguide/logic/tree/collections.py', 'module_initializer', '_NodeType') 1
('/wemake_python_styleguide/logic/tree/collections.py', 'module_initializer', '_DefaultType') 1
('/wemake_python_styleguide/logic/complexity/cognitive.py', 'module_initializer', '_CONTROL_FLOW_BREAKERS') 6
('/wemake_python_styleguide/logic/complexity/cognitive.py', 'module_initializer', '_SHORT_CIRCUITS') 6
('/wemake_python_styleguide/logic/complexity/cognitive.py', 'module_initializer', '_INCREMENTERS') 6
('/wemake_python_styleguide/visitors/base.py', '__init__', 'options') 6
('/wemake_python_styleguide/visitors/base.py', 'add_violation', 'violation') 6
('/wemake_python_styleguide/logic/tree/functions.py', 'given_function_called', 'node') 6
('/wemake_python_styleguide/visitors/ast/complexity/imports.py', '__init__', 'error_callback') 6
('/wemake_python_styleguide/visitors/ast/naming.py', 'visit_any_assign', 'node') 1
('/wemake_python_styleguide/visitors/ast/builtins.py', '_check_set_elements', 'node') 6
('/wemake_python_styleguide/visitors/ast/builtins.py', '_report_set_elements', 'node') 6
('/wemake_python_styleguide/logic/safe_eval.py', '_convert_iterable', 'node') 6
