('/lib/ansible/constants.py', 'module_initializer', 'BOOL_TRUE') 1
('/lib/ansible/module_utils/common/text/converters.py', 'module_initializer', 'to_native') 1
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'advance_iterator') 1
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'unichr') 5
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'int2byte') 1
('/lib/ansible/module_utils/six/__init__.py', 'module_initializer', 'iterbytes') 1
('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'JINJA_ENV') 1
('/hacking/build_library/build_ansible/command_plugins/porting_guide.py', 'module_initializer', 'JINJA_ENV') 1
('/lib/ansible/plugins/cache/__init__.py', 'BaseCacheModule_class_initializer', '_display') 1
('/lib/ansible/plugins/lookup/sequence.py', 'module_initializer', 'SHORTCUT') 1
('/lib/ansible/module_utils/basic.py', 'module_initializer', '_literal_eval') 1
('/lib/ansible/module_utils/basic.py', 'AnsibleModule_class_initializer', 'pretty_bytes') 1
('/lib/ansible/module_utils/basic.py', 'AnsibleModule_class_initializer', 'is_executable') 1
('/lib/ansible/plugins/inventory/toml.py', 'module_initializer', 'toml_dumps') 1
('/lib/ansible/utils/hashing.py', 'module_initializer', 'checksum') 1
('/lib/ansible/utils/hashing.py', 'module_initializer', 'checksum_s') 1
('/lib/ansible/utils/multiprocessing.py', 'module_initializer', 'context') 1
('/lib/ansible/galaxy/collection.py', 'module_initializer', 'display') 5
('/lib/ansible/plugins/callback/__init__.py', 'CallbackBase_class_initializer', '_copy_result') 1
('/lib/ansible/module_utils/basic.py', 'remove_values', 'deferred_removals') 1
('/lib/ansible/module_utils/compat/_selectors2.py', 'register', 'key') 1
('/lib/ansible/executor/module_common.py', '_find_module_utils', 'output') 1
('/lib/ansible/executor/module_common.py', '_find_module_utils', 'zipoutput') 1
('/lib/ansible/utils/collection_loader/_collection_finder.py', '_get_collection_metadata', 'collection_pkg') 1
('/lib/ansible/galaxy/collection.py', '_consume_file', 'sha256_digest') 1
('/lib/ansible/galaxy/collection.py', '_build_collection_tar', 'b_io') 1
('/lib/ansible/plugins/strategy/__init__.py', '_queue_task', 'worker_prc') 8
('/lib/ansible/playbook/helpers.py', 'load_list_of_blocks', 'count') 1
('/lib/ansible/executor/play_iterator.py', '__init__', 'setup_block') 6
('/lib/ansible/inventory/data.py', '_create_implicit_localhost', 'new_host') 6
('/lib/ansible/utils/collection_loader/_collection_finder.py', '_new_or_existing_module', 'module') 1
('/lib/ansible/module_utils/basic.py', 'sanitize_keys', 'deferred_removals') 1
